P2,,,
BPM,77,,
,,,
time (ms),Q_c1 (mm^3/s),Q_aq (mm^3/s),
0,-2410.58,-397.673,
25.0645,-1834.08,-407.809,
50.129,-949.765,-393.013,
75.1936,-88.1069,-359.321,
100.258,590.629,-312.721,
125.323,1120.42,-256.6,
150.387,1504.41,-195.898,
175.452,1617.51,-138.983, 
200.516,1600.81,-82.9905,
225.581,1536.84,-29.4536,
250.645,1558.93,23.267,
275.71,1625.01,69.3697,
300.774,1725.12,114.66,
325.839,1868.91,162.228,
350.903,2055.41,211.882,
375.968,2223.69,258.843,
401.032,2261.22,299.729,
426.097,2159.88,332.051,
451.161,2012,354.622,
476.226,1868.68,363.314,
501.29,1673.79,357.801,
526.355,1393.39,332.02,
551.419,779.477,280.969,
576.484,-467.018,202.858,
601.548,-1905.2,113.526,
626.613,-2934.35,18.6813,
651.677,-3424.62,-79.7356,
676.742,-3581.76,-176.48,
701.806,-3511.91,-267.892,
726.871,-3268.01,-346.436,
751.935,-2905.46,-392.972,
777,-2405,-409.694,
